codigo_onibus,distancia_percorrida,segundos_deslocamento,tecnologia,fase_conama,fator_consumo_l,fator_consumo_kg,consumo_l,consumo_kg,emissao_co2,emissao_mp,emissao_nox
45080,352538.1821003668,86218.0,Básico,P8,0.53,0.445,186.8452365131944,156.87949103466323,499.06362672674226,0.0040788667669012435,0.1744499940305455
45081,186734.66997943755,60193.0,Padron,P8,0.63,0.529,117.64284208704565,98.78264041912246,314.2240312144989,0.0025683486508971836,0.10984629614606417
45082,164118.2978689509,59963.0,Biarticulado,P8,0.9,0.756,147.7064680820558,124.07343318892687,394.52397624717105,0.0032259092629120982,0.13796965770608666
45085,361185.94116140046,49713.0,Articulado (18m),P7,0.8,0.672,288.9487529291204,242.71695246046113,771.7821190736806,0.13349432385325363,15.95863962427532
45087,280799.8462184606,86184.0,Articulado (23m),P7,0.85,0.714,238.67986928569147,200.49109019998085,637.5139308620819,0.11027009960998947,13.182289180648741
45088,164669.23491542504,86245.0,Biarticulado,P8,0.9,0.756,148.20231142388255,124.48994159606134,395.8483738131903,0.0032367384814975947,0.1384328150548202
45089,185700.32857306817,53015.0,Básico,P8,0.53,0.445,98.42117414372613,82.63664621501533,262.8829561378925,0.0021485528015903984,0.09189195059109705
45090,327887.76610183954,58580.0,Biarticulado,P7,0.9,0.756,295.0989894916556,247.8831511729907,788.209400932212,0.13633573314514488,16.29831718962414
45091,163142.20376290038,86209.0,Miniônibus,P5,0.35,0.294,57.099771317015126,47.96380790629271,152.51348918774738,1.8609957467641571,1.0063766174898336
45092,158203.45805399062,86221.0,Biarticulado,P7,0.9,0.756,142.38311224859157,119.60181428881691,380.3052928159881,0.0657809978588493,7.8638192894897125
45094,250466.09405657323,50890.0,Midiônibus,P5,0.47,0.395,117.71906420658942,98.93410715234643,314.42762049580034,3.8386433575110415,2.0758354362705327
45098,223160.67288978922,86202.0,Articulado (18m),P7,0.8,0.672,178.5285383118314,149.96397218193837,476.8497258309016,0.08248018470006611,9.860131170962449
45099,329318.87603948615,86251.0,Midiônibus,P8,0.47,0.395,154.77987173855848,130.08095603559704,413.4170374136897,0.0033821048569255227,0.1446500231115839
45103,317365.02146445034,86221.0,Miniônibus,P8,0.35,0.294,111.07775751255762,93.3053163105484,296.6886903160414,0.0024259382240742586,0.10375551173732982
45105,197705.54896140136,86358.0,Miniônibus,P5,0.35,0.294,69.19694213649048,58.125431394652004,184.82503244656604,2.255266738112498,1.2195878015225885
45106,200987.0811520026,52382.0,Padron,P5,0.63,0.529,126.62186112576163,106.32216592940938,338.20699106690927,4.125300038061084,2.2308516855308675
45107,271353.0523295117,86188.0,Padron,P8,0.63,0.529,170.95242296759236,143.5457646823117,456.61392174643913,0.003732189881740104,0.1596228903267306
45108,199202.45967548527,56089.0,Articulado (18m),P8,0.8,0.672,159.36196774038822,133.8640529019261,425.6558158345769,0.0034804653754500784,0.14885682682694182
45116,174698.1642891994,53380.0,Midiônibus,P8,0.47,0.395,82.10813721592372,69.00577489423377,219.31083450373225,0.0017941501472500778,0.07673442168238795
45119,158792.69272720476,24246.0,Articulado (18m),P5,0.8,0.672,127.03415418176381,106.7086895126816,339.3082258194911,4.140297153092046,2.2389617233550854
45120,4842.957278049578,754.0,Articulado (18m),P5,0.8,0.672,3.8743658224396627,3.2544672908493166,10.348431111736339,0.1262733308849535,0.06828523269660036
45122,0.0,86196.0,Articulado (18m),P8,0.8,0.672,0.0,0.0,0.0,0.0,0.0
45125,125427.13123866582,56462.0,Articulado (23m),P8,0.85,0.714,106.61306155286594,89.5549717044074,284.76348740770493,0.0023284292643145923,0.09958512853530102
45127,324448.1022558057,85979.0,Biarticulado,P7,0.9,0.756,292.0032920302251,245.2827653053891,779.9407930127312,0.134905520917964,16.127341818829333
45131,185889.94200091463,86231.0,Articulado (23m),P7,0.85,0.714,158.00645070077744,132.72541858865304,422.0352298217765,0.07299898022375918,8.726696272203938
45134,159646.01458278042,57417.0,Midiônibus,P8,0.47,0.395,75.0336268539068,63.06017576019827,200.41481732678503,0.001639564569765155,0.07012291544534047
45136,174034.62606748144,86206.0,Articulado (23m),P8,0.85,0.714,147.92943215735923,124.26072301218174,395.11951329230646,0.003230778798316725,0.1381779239895461
45137,192162.47065069905,86207.0,Básico,P5,0.53,0.445,101.8461094448705,85.51229943956108,272.0309583272491,3.31787721825497,1.7942190668408706
45140,251025.00389399414,86181.0,Biarticulado,P7,0.9,0.756,225.92250350459474,189.7749029438596,603.4390068607726,0.10437619661912279,12.47769986855877
45141,34103.62395758814,11512.0,Biarticulado,P5,0.9,0.756,30.693261561829328,25.782339711936636,81.98170163164613,1.0003547808231414,0.5409650518358545
