hora_requisicao,codigo_linha,nome_linha,letreiro,codigo_onibus,x,y,hora_gps,geometry,ponto_final,hora_final,distancia_percorrida,segundos_deslocamento
14:02:00,207,208V-10,TERM. PQ. D. PEDRO II - TERM. A. E. CARVALHO,31792,-46.475941500000005,-23.517753,2025-10-16 14:02:24-03:00,POINT (349314.8670587607 7398388.6745050065),,,,
14:02:00,32897,1177-10,LUZ - TERM. A. E. CARVALHO,31793,-46.56593175,-23.5273665,2025-10-16 14:02:34-03:00,POINT (340137.47054135916 7397226.761626616),,,,
14:02:00,129,1177-10,LUZ - TERM. A. E. CARVALHO,31794,-46.631504375,-23.538141125000003,2025-10-16 14:01:58-03:00,POINT (333455.6582187611 7395959.005107334),,,,
14:02:00,32975,208V-10,TERM. PQ. D. PEDRO II - TERM. A. E. CARVALHO,31795,-46.475783,-23.517572,2025-10-16 14:02:14-03:00,POINT (349330.8454100613 7398408.883425058),,,,
14:02:00,141,2551-10,TERM. PQ. D. PEDRO II - TERM. A. E. CARVALHO,31796,-46.550911,-23.5251735,2025-10-16 14:01:52-03:00,POINT (341668.53954469366 7397486.259973723),,,,
14:02:00,32897,1177-10,LUZ - TERM. A. E. CARVALHO,31797,-46.500585,-23.511697,2025-10-16 14:02:38-03:00,POINT (346791.5069289205 7399033.185981092),,,,
14:02:00,141,2551-10,TERM. PQ. D. PEDRO II - TERM. A. E. CARVALHO,31799,-46.60931325,-23.539449750000003,2025-10-16 14:02:24-03:00,POINT (335722.97071672033 7395839.6882197615),,,,
14:02:00,253,3063-10,TERM. SÃO MATEUS - GUAIANASES,31948,-46.41178175,-23.54701025,2025-10-16 14:02:07-03:00,POINT (355898.0172901676 7395214.903041733),,,,
14:02:00,253,3063-10,TERM. SÃO MATEUS - GUAIANASES,31949,-46.468203,-23.598452,2025-10-16 14:02:05-03:00,POINT (350196.58307665575 7389460.775956319),,,,
14:02:00,253,3063-10,TERM. SÃO MATEUS - GUAIANASES,31950,-46.4763735,-23.612665,2025-10-16 14:02:11-03:00,POINT (349379.0493991976 7387878.343280802),,,,
14:02:00,2167,407F-10,METRÔ BELÉM - TERM. SÃO MATEUS,31953,-46.549729,-23.56305875,2025-10-16 14:02:39-03:00,POINT (341834.56751539576 7393292.334912695),,,,
14:02:00,34935,407F-10,METRÔ BELÉM - TERM. SÃO MATEUS,31956,-46.4762815,-23.611793,2025-10-16 14:02:00-03:00,POINT (349387.43998284126 7387974.999788947),,,,
14:02:00,2171,4311-10,TERM. PQ. D. PEDRO II - TERM. SÃO MATEUS,31957,-46.4763445,-23.6135545,2025-10-16 14:02:28-03:00,POINT (349383.0252956371 7387779.876379773),,,,
14:02:00,33021,3063-10,TERM. SÃO MATEUS - GUAIANASES,31958,-46.450891,-23.5951525,2025-10-16 14:02:08-03:00,POINT (351959.5133927865 7389844.157365873),,,,
14:02:00,2167,407F-10,METRÔ BELÉM - TERM. SÃO MATEUS,31962,-46.4905275,-23.58802425,2025-10-16 14:02:34-03:00,POINT (347906.39919946494 7390591.926508117),,,,
14:02:00,34883,930P-10,TERM. PINHEIROS - TERM. PQ. D. PEDRO II,32650,-46.6676525,-23.5652405,2025-10-16 14:02:02-03:00,POINT (329799.8539928306 7392915.583196014),,,,
14:02:00,32892,805L-10,ACLIMAÇÃO - TERM. PRINC. ISABEL,32651,-46.65690549999999,-23.560971,2025-10-16 14:02:19-03:00,POINT (330891.432624393 7393401.11308738),,,,
14:02:00,117,508L-10,ACLIMAÇÃO - TERM. PRINC. ISABEL,32652,-46.642536250000006,-23.573476375,2025-10-16 14:02:26-03:00,POINT (332374.15374434425 7392033.168960298),,,,
14:02:00,2115,930P-10,TERM. PINHEIROS - TERM. PQ. D. PEDRO II,32653,-46.647543,-23.550422,2025-10-16 14:02:26-03:00,POINT (331833.749275426 7394580.317679359),,,,
14:02:00,223,273G-10,METRÔ ARTUR ALVIM - JD. HELENA,32654,-46.427967,-23.477591,2025-10-16 14:02:01-03:00,POINT (354169.29454786656 7402885.372333564),,,,
14:02:00,223,273G-10,METRÔ ARTUR ALVIM - JD. HELENA,32656,-46.436046000000005,-23.485437,2025-10-16 14:02:03-03:00,POINT (353352.78886980016 7402008.363535177),,,,
14:02:00,33160,273X-10,METRÔ ARTUR ALVIM - JD. DAS OLIVEIRAS,32657,-46.376669500000006,-23.498169,2025-10-16 14:02:28-03:00,POINT (359430.56678492395 7400657.898689918),,,,
14:02:00,33160,273X-10,METRÔ ARTUR ALVIM - JD. DAS OLIVEIRAS,32658,-46.445477,-23.4923,2025-10-16 14:02:25-03:00,POINT (352397.21017632383 7401238.763420305),,,,
14:02:00,33160,273X-10,METRÔ ARTUR ALVIM - JD. DAS OLIVEIRAS,32659,-46.388393750000006,-23.49528,2025-10-16 14:02:04-03:00,POINT (358230.1716515196 7400966.273344205),,,,
14:02:00,124,805L-10,ACLIMAÇÃO - TERM. PRINC. ISABEL,32660,-46.632430125,-23.565400125,2025-10-16 14:02:34-03:00,POINT (333395.5146994669 7392939.314506289),,,,
14:02:00,34883,930P-10,TERM. PINHEIROS - TERM. PQ. D. PEDRO II,32661,-46.6305745,-23.546217,2025-10-16 14:02:15-03:00,POINT (333560.76617456955 7395065.777686732),,,,
14:02:00,124,805L-10,ACLIMAÇÃO - TERM. PRINC. ISABEL,32662,-46.64212975,-23.537077,2025-10-16 14:02:26-03:00,POINT (332369.4653548063 7396064.464463392),,,,
14:02:00,117,508L-10,ACLIMAÇÃO - TERM. PRINC. ISABEL,32663,-46.659047625,-23.5484335,2025-10-16 14:02:13-03:00,POINT (330656.6889974257 7394786.977538455),,,,
14:02:00,117,508L-10,ACLIMAÇÃO - TERM. PRINC. ISABEL,32664,-46.658242,-23.559982625000004,2025-10-16 14:02:03-03:00,POINT (330753.732925256 7393508.986960489),,,,
14:02:00,34883,930P-10,TERM. PINHEIROS - TERM. PQ. D. PEDRO II,32665,-46.7020465,-23.5661855,2025-10-16 14:02:34-03:00,POINT (326290.1549917804 7392769.64474747),,,,
14:02:00,2115,930P-10,TERM. PINHEIROS - TERM. PQ. D. PEDRO II,32666,-46.7022065,-23.565819,2025-10-16 14:02:00-03:00,POINT (326273.33997030056 7392810.037336945),,,,
14:02:00,117,508L-10,ACLIMAÇÃO - TERM. PRINC. ISABEL,32667,-46.644913,-23.5346835,2025-10-16 14:02:29-03:00,POINT (332082.25496084103 7396326.261098585),,,,
14:02:00,124,805L-10,ACLIMAÇÃO - TERM. PRINC. ISABEL,32668,-46.64257875,-23.5441995,2025-10-16 14:02:26-03:00,POINT (332332.6559393077 7395275.204354262),,,,
14:02:00,32892,805L-10,ACLIMAÇÃO - TERM. PRINC. ISABEL,32669,-46.64357325,-23.57177975,2025-10-16 14:02:34-03:00,POINT (332266.1489056002 7392219.837227936),,,,
14:02:00,135,2363-10,TERM. PQ. D. PEDRO II - JD. DANFER,32670,-46.56256275,-23.53263575,2025-10-16 14:02:00-03:00,POINT (340487.81741386664 7396647.018859779),,,,
14:02:00,33514,3414-10,TERM. PQ. D. PEDRO II - VL. DALILA,41100,-46.545309,-23.5344645,2025-10-16 14:02:15-03:00,POINT (342251.61992756784 7396463.593411216),,,,
14:02:00,746,3414-10,TERM. PQ. D. PEDRO II - VL. DALILA,41101,-46.5252685,-23.538889,2025-10-16 14:02:22-03:00,POINT (344302.93949566653 7395995.547887894),,,,
14:02:00,2588,4037-10,CIRCULAR - TERM. VL. CARRÃO,41102,-46.5229205,-23.558423,2025-10-16 14:02:19-03:00,POINT (344565.6346724431 7393835.012141112),,,,
14:02:00,766,408A-10,CARDOSO DE ALMEIDA - MACHADO DE ASSIS,41104,-46.646993125,-23.543830125,2025-10-16 14:02:17-03:00,POINT (331881.50081093877 7395310.938953954),,,,
14:02:00,33514,3414-10,TERM. PQ. D. PEDRO II - VL. DALILA,41106,-46.521928,-23.5443795,2025-10-16 14:02:11-03:00,POINT (344650.4396368103 7395391.184944305),,,,
14:02:00,33488,3032-10,CIRCULAR - TERM. VL. CARRÃO,41107,-46.5083905,-23.56890625,2025-10-16 14:02:34-03:00,POINT (346061.07121522765 7392689.846107903),,,,
14:02:00,766,408A-10,CARDOSO DE ALMEIDA - MACHADO DE ASSIS,41108,-46.632999,-23.579777,2025-10-16 14:02:22-03:00,POINT (333355.5963641389 7391346.577921179),,,,
14:02:00,711,2002-10,TERM. BANDEIRA - TERM. PQ. D. PEDRO II,41110,-46.644393,-23.544097,2025-10-16 14:02:43-03:00,POINT (332147.3001257187 7395284.432140475),,,,
14:02:00,766,408A-10,CARDOSO DE ALMEIDA - MACHADO DE ASSIS,41111,-46.6332635,-23.579643,2025-10-16 14:02:40-03:00,POINT (333328.43038680713 7391361.1090009),,,,
14:02:00,33514,3414-10,TERM. PQ. D. PEDRO II - VL. DALILA,41113,-46.5214515,-23.5445375,2025-10-16 14:02:24-03:00,POINT (344699.2714571741 7395374.205160796),,,,
14:02:00,33763,3139-10,PÇA. JOÃO MENDES - JD. VL. FORMOSA,41114,-46.635453,-23.552107,2025-10-16 14:02:23-03:00,POINT (333070.14619997464 7394407.856181586),,,,
14:02:00,711,2002-10,TERM. BANDEIRA - TERM. PQ. D. PEDRO II,41115,-46.62942425,-23.54893,2025-10-16 14:02:25-03:00,POINT (333681.6128113498 7394766.680134529),,,,
14:02:00,33479,2002-10,TERM. BANDEIRA - TERM. PQ. D. PEDRO II,41116,-46.6299155,-23.546762,2025-10-16 14:02:13-03:00,POINT (333628.7314357867 7395006.190358245),,,,
14:02:00,766,408A-10,CARDOSO DE ALMEIDA - MACHADO DE ASSIS,41117,-46.632999,-23.579777,2025-10-16 14:02:04-03:00,POINT (333355.5963641389 7391346.577921179),,,,
14:02:00,995,3139-10,PÇA. JOÃO MENDES - JD. VL. FORMOSA,41118,-46.523503000000005,-23.5672625,2025-10-16 14:02:07-03:00,POINT (344516.5802445799 7392855.542857924),,,,
14:02:00,766,408A-10,CARDOSO DE ALMEIDA - MACHADO DE ASSIS,41119,-46.6332635,-23.579643,2025-10-16 14:02:41-03:00,POINT (333328.43038680713 7391361.1090009),,,,
14:02:00,33482,2101-10,PÇA. DA SÉ - PÇA. SILVIO ROMERO,41120,-46.575951,-23.545001000000003,2025-10-16 14:02:24-03:00,POINT (339135.90516230377 7395262.787990513),,,,
14:02:00,766,408A-10,CARDOSO DE ALMEIDA - MACHADO DE ASSIS,41121,-46.632999,-23.579777,2025-10-16 14:02:03-03:00,POINT (333355.5963641389 7391346.577921179),,,,
14:02:00,766,408A-10,CARDOSO DE ALMEIDA - MACHADO DE ASSIS,41122,-46.63286775,-23.559263625,2025-10-16 14:02:18-03:00,POINT (333343.09901301895 7393618.351944458),,,,
