hora_requisicao,codigo_linha,nome_linha,letreiro,codigo_onibus,x,y,hora_gps,geometry
14:02:00,34650,390E-10,TERM. PQ. D. PEDRO II - TERM. PENHA,31520,-46.54851825,-23.521487,2025-10-16 14:02:37-03:00,POINT (341908.4500317351 7397897.122242408)
14:02:00,34884,908T-10,BUTANTÃ - TERM. PQ. D. PEDRO II,31522,-46.6686325,-23.566180375,2025-10-16 14:02:19-03:00,POINT (329701.02831659187 7392810.336817296)
14:02:00,2175,4315-10,TERM. PQ. D. PEDRO II - TERM. VL. CARRÃO,31523,-46.58867175,-23.54319225,2025-10-16 14:02:21-03:00,POINT (337834.9972517863 7395448.75197199)
14:02:00,33000,274P-10,METRÔ VL. MARIANA - PENHA,31524,-46.62888625,-23.5872745,2025-10-16 14:02:07-03:00,POINT (333784.81826051214 7390521.096682947)
14:02:00,34940,4312-10,TERM. PQ. D. PEDRO II - JD. MARÍLIA,31557,-46.605112000000005,-23.54956025,2025-10-16 14:02:35-03:00,POINT (336164.4395331503 7394724.886685155)
14:02:00,232,274P-10,METRÔ VL. MARIANA - PENHA,31559,-46.6347255,-23.586144,2025-10-16 14:02:10-03:00,POINT (333187.4280811794 7390639.493331677)
14:02:00,232,274P-10,METRÔ VL. MARIANA - PENHA,31560,-46.547758125,-23.5205215,2025-10-16 14:02:07-03:00,POINT (341984.91288587113 7398004.8738469565)
14:02:00,34650,390E-10,TERM. PQ. D. PEDRO II - TERM. PENHA,31561,-46.596973625,-23.537747000000003,2025-10-16 14:02:32-03:00,POINT (336980.7119672524 7396042.327391408)
14:02:00,33142,2582-10,TERM. PQ. D. PEDRO II - VL. NOVA CURUÇÁ,31589,-46.4742815,-23.49334175,2025-10-16 14:02:08-03:00,POINT (349456.6222849236 7401093.522794735)
14:02:00,34941,4313-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31590,-46.416775,-23.59064225,2025-10-16 14:02:29-03:00,POINT (355436.0594311146 7390378.463855253)
14:02:00,2170,4210-10,TERM. PQ. D. PEDRO II - TERM. CID. TIRADENTES,31591,-46.63002,-23.544351,2025-10-16 14:02:39-03:00,POINT (333615.02765191474 7395273.05868726)
